2018-04-11 13:17:54,226 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:17:54,228 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\test\resources
2018-04-11 13:41:58,718 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:41:58,728 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\main\resources
2018-04-11 13:41:58,730 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:41:58,752 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\test\resources
2018-04-11 13:41:59,854 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:41:59,855 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\main\resources
2018-04-11 13:41:59,858 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:41:59,860 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\test\resources
2018-04-11 13:42:12,879 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:42:12,881 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\main\resources
2018-04-11 13:42:12,883 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:42:12,885 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\test\resources
2018-04-11 13:43:21,789 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:43:21,790 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\main\resources
2018-04-11 13:43:21,792 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:43:21,794 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\test\resources
2018-04-11 13:49:44,964 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-11 13:49:44,966 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sachincloud\Desktop\Amazon Alexa\Socket.io\CMS-Web_Based-_JavaEE\spring-tutorial-137\src\main\resources
2018-04-11 13:49:44,970 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
